Candidate_ID,Pred_pChEMBL_Mean,Epistemic_Uncertainty_Std,Confidence_Group
WT_Cand_5555,6.777,0.182,High-Confidence (Std <= 0.20)
WT_Cand_5556,5.181,0.378,Low-Confidence (Filtered Out)
WT_Cand_5557,6.937,0.644,Low-Confidence (Filtered Out)
WT_Cand_5558,8.056,0.084,High-Confidence (Std <= 0.20)
WT_Cand_5559,6.816,0.044,High-Confidence (Std <= 0.20)
WT_Cand_5560,7.741,0.366,Low-Confidence (Filtered Out)
WT_Cand_5561,5.648,0.262,Low-Confidence (Filtered Out)
WT_Cand_5562,6.82,0.2,High-Confidence (Std <= 0.20)
WT_Cand_5563,6.132,0.298,Low-Confidence (Filtered Out)
WT_Cand_5564,7.709,0.094,High-Confidence (Std <= 0.20)
WT_Cand_5565,6.886,0.202,Low-Confidence (Filtered Out)
WT_Cand_5566,7.644,0.438,Low-Confidence (Filtered Out)
WT_Cand_5567,8.101,0.074,High-Confidence (Std <= 0.20)
WT_Cand_5568,7.645,0.281,Low-Confidence (Filtered Out)
WT_Cand_5569,7.164,0.106,High-Confidence (Std <= 0.20)
WT_Cand_5570,5.702,0.354,Low-Confidence (Filtered Out)
WT_Cand_5571,6.847,0.409,Low-Confidence (Filtered Out)
WT_Cand_5572,6.237,0.129,High-Confidence (Std <= 0.20)
WT_Cand_5573,6.454,0.177,High-Confidence (Std <= 0.20)
WT_Cand_5574,6.419,0.061,High-Confidence (Std <= 0.20)
WT_Cand_5575,5.723,0.218,Low-Confidence (Filtered Out)
WT_Cand_5576,4.599,0.027,High-Confidence (Std <= 0.20)
WT_Cand_5577,6.082,0.215,Low-Confidence (Filtered Out)
WT_Cand_5578,7.072,0.247,Low-Confidence (Filtered Out)
WT_Cand_5579,5.3,0.169,High-Confidence (Std <= 0.20)
WT_Cand_5580,6.868,0.067,High-Confidence (Std <= 0.20)
WT_Cand_5581,9.035,0.403,Low-Confidence (Filtered Out)
WT_Cand_5582,8.027,0.067,High-Confidence (Std <= 0.20)
WT_Cand_5583,8.74,0.46,Low-Confidence (Filtered Out)
WT_Cand_5584,7.3,0.165,High-Confidence (Std <= 0.20)
WT_Cand_5585,8.193,0.651,Low-Confidence (Filtered Out)
WT_Cand_5586,6.017,0.312,Low-Confidence (Filtered Out)
WT_Cand_5587,6.109,0.071,High-Confidence (Std <= 0.20)
WT_Cand_5588,3.7,0.247,Low-Confidence (Filtered Out)
WT_Cand_5589,8.214,0.29,Low-Confidence (Filtered Out)
WT_Cand_5590,8.621,0.18,High-Confidence (Std <= 0.20)
WT_Cand_5591,6.214,0.142,High-Confidence (Std <= 0.20)
WT_Cand_5592,6.558,0.421,Low-Confidence (Filtered Out)
WT_Cand_5593,5.983,0.06,High-Confidence (Std <= 0.20)
WT_Cand_5594,7.29,0.161,High-Confidence (Std <= 0.20)
WT_Cand_5595,8.144,1.368,Low-Confidence (Filtered Out)
WT_Cand_5596,4.846,0.165,High-Confidence (Std <= 0.20)
WT_Cand_5597,7.321,0.161,High-Confidence (Std <= 0.20)
WT_Cand_5598,6.532,0.031,High-Confidence (Std <= 0.20)
WT_Cand_5599,6.98,0.404,Low-Confidence (Filtered Out)
WT_Cand_5600,7.378,0.363,Low-Confidence (Filtered Out)
WT_Cand_5601,6.634,0.107,High-Confidence (Std <= 0.20)
WT_Cand_5602,6.731,0.417,Low-Confidence (Filtered Out)
WT_Cand_5603,6.604,0.096,High-Confidence (Std <= 0.20)
WT_Cand_5604,7.966,0.105,High-Confidence (Std <= 0.20)
WT_Cand_5605,7.332,0.163,High-Confidence (Std <= 0.20)
WT_Cand_5606,7.104,0.068,High-Confidence (Std <= 0.20)
WT_Cand_5607,5.388,0.081,High-Confidence (Std <= 0.20)
WT_Cand_5608,6.415,0.262,Low-Confidence (Filtered Out)
WT_Cand_5609,7.883,0.03,High-Confidence (Std <= 0.20)
WT_Cand_5610,6.893,0.165,High-Confidence (Std <= 0.20)
WT_Cand_5611,7.608,0.253,Low-Confidence (Filtered Out)
WT_Cand_5612,8.881,0.228,Low-Confidence (Filtered Out)
WT_Cand_5613,8.044,0.402,Low-Confidence (Filtered Out)
WT_Cand_5614,6.957,0.036,High-Confidence (Std <= 0.20)
WT_Cand_5615,6.262,0.015,High-Confidence (Std <= 0.20)
WT_Cand_5616,3.913,0.078,High-Confidence (Std <= 0.20)
WT_Cand_5617,6.656,0.533,Low-Confidence (Filtered Out)
WT_Cand_5618,6.475,0.124,High-Confidence (Std <= 0.20)
WT_Cand_5619,7.299,0.266,Low-Confidence (Filtered Out)
WT_Cand_5620,6.673,0.253,Low-Confidence (Filtered Out)
WT_Cand_5621,6.482,0.075,High-Confidence (Std <= 0.20)
WT_Cand_5622,4.804,0.036,High-Confidence (Std <= 0.20)
WT_Cand_5623,5.769,0.09,High-Confidence (Std <= 0.20)
WT_Cand_5624,7.398,0.211,Low-Confidence (Filtered Out)
WT_Cand_5625,8.823,0.155,High-Confidence (Std <= 0.20)
WT_Cand_5626,6.738,0.171,High-Confidence (Std <= 0.20)
WT_Cand_5627,7.227,0.065,High-Confidence (Std <= 0.20)
WT_Cand_5628,7.945,0.161,High-Confidence (Std <= 0.20)
WT_Cand_5629,5.917,0.028,High-Confidence (Std <= 0.20)
WT_Cand_5630,7.272,0.09,High-Confidence (Std <= 0.20)
WT_Cand_5631,5.998,0.037,High-Confidence (Std <= 0.20)
WT_Cand_5632,7.845,0.074,High-Confidence (Std <= 0.20)
WT_Cand_5633,7.024,0.241,Low-Confidence (Filtered Out)
WT_Cand_5634,7.193,0.045,High-Confidence (Std <= 0.20)
WT_Cand_5635,5.95,0.082,High-Confidence (Std <= 0.20)
WT_Cand_5636,7.663,0.076,High-Confidence (Std <= 0.20)
WT_Cand_5637,9.247,0.15,High-Confidence (Std <= 0.20)
WT_Cand_5638,5.691,0.078,High-Confidence (Std <= 0.20)
WT_Cand_5639,6.459,0.102,High-Confidence (Std <= 0.20)
WT_Cand_5640,7.116,0.029,High-Confidence (Std <= 0.20)
WT_Cand_5641,7.754,0.226,Low-Confidence (Filtered Out)
WT_Cand_5642,6.207,0.238,Low-Confidence (Filtered Out)
WT_Cand_5643,3.592,0.208,Low-Confidence (Filtered Out)
WT_Cand_5644,8.413,0.031,High-Confidence (Std <= 0.20)
WT_Cand_5645,7.725,0.077,High-Confidence (Std <= 0.20)
WT_Cand_5646,4.846,0.263,Low-Confidence (Filtered Out)
WT_Cand_5647,6.151,0.163,High-Confidence (Std <= 0.20)
WT_Cand_5648,8.653,0.396,Low-Confidence (Filtered Out)
WT_Cand_5649,8.515,0.353,Low-Confidence (Filtered Out)
WT_Cand_5650,7.929,0.134,High-Confidence (Std <= 0.20)
WT_Cand_5651,6.647,0.075,High-Confidence (Std <= 0.20)
WT_Cand_5652,6.945,0.253,Low-Confidence (Filtered Out)
WT_Cand_5653,6.699,0.274,Low-Confidence (Filtered Out)
WT_Cand_5654,8.147,0.302,Low-Confidence (Filtered Out)
WT_Cand_5655,5.843,0.161,High-Confidence (Std <= 0.20)
WT_Cand_5656,5.923,0.066,High-Confidence (Std <= 0.20)
WT_Cand_5657,8.012,0.205,Low-Confidence (Filtered Out)
WT_Cand_5658,6.799,0.213,Low-Confidence (Filtered Out)
WT_Cand_5659,8.435,0.247,Low-Confidence (Filtered Out)
WT_Cand_5660,6.078,0.084,High-Confidence (Std <= 0.20)
WT_Cand_5661,6.787,0.204,Low-Confidence (Filtered Out)
WT_Cand_5662,5.789,0.023,High-Confidence (Std <= 0.20)
WT_Cand_5663,6.858,0.266,Low-Confidence (Filtered Out)
WT_Cand_5664,5.15,0.156,High-Confidence (Std <= 0.20)
WT_Cand_5665,6.289,0.073,High-Confidence (Std <= 0.20)
WT_Cand_5666,5.198,0.384,Low-Confidence (Filtered Out)
WT_Cand_5667,7.648,0.096,High-Confidence (Std <= 0.20)
WT_Cand_5668,7.674,0.157,High-Confidence (Std <= 0.20)
WT_Cand_5669,4.86,0.081,High-Confidence (Std <= 0.20)
WT_Cand_5670,8.384,0.143,High-Confidence (Std <= 0.20)
WT_Cand_5671,9.722,0.216,Low-Confidence (Filtered Out)
WT_Cand_5672,6.903,0.088,High-Confidence (Std <= 0.20)
WT_Cand_5673,6.113,0.116,High-Confidence (Std <= 0.20)
WT_Cand_5674,10.098,0.262,Low-Confidence (Filtered Out)
WT_Cand_5675,5.333,0.011,High-Confidence (Std <= 0.20)
WT_Cand_5676,6.873,0.276,Low-Confidence (Filtered Out)
WT_Cand_5677,7.057,0.32,Low-Confidence (Filtered Out)
WT_Cand_5678,8.397,0.045,High-Confidence (Std <= 0.20)
WT_Cand_5679,7.264,0.016,High-Confidence (Std <= 0.20)
WT_Cand_5680,6.277,0.032,High-Confidence (Std <= 0.20)
WT_Cand_5681,5.756,0.053,High-Confidence (Std <= 0.20)
WT_Cand_5682,6.457,0.037,High-Confidence (Std <= 0.20)
WT_Cand_5683,5.692,0.23,Low-Confidence (Filtered Out)
WT_Cand_5684,6.905,0.123,High-Confidence (Std <= 0.20)
WT_Cand_5685,6.201,0.181,High-Confidence (Std <= 0.20)
WT_Cand_5686,5.132,0.299,Low-Confidence (Filtered Out)
WT_Cand_5687,8.293,0.251,Low-Confidence (Filtered Out)
WT_Cand_5688,6.278,0.451,Low-Confidence (Filtered Out)
WT_Cand_5689,5.392,0.346,Low-Confidence (Filtered Out)
WT_Cand_5690,6.657,0.111,High-Confidence (Std <= 0.20)
WT_Cand_5691,6.929,0.205,Low-Confidence (Filtered Out)
WT_Cand_5692,4.842,0.463,Low-Confidence (Filtered Out)
WT_Cand_5693,7.231,0.096,High-Confidence (Std <= 0.20)
WT_Cand_5694,5.646,0.22,Low-Confidence (Filtered Out)
WT_Cand_5695,8.818,0.566,Low-Confidence (Filtered Out)
WT_Cand_5696,7.453,0.241,Low-Confidence (Filtered Out)
WT_Cand_5697,6.39,0.047,High-Confidence (Std <= 0.20)
WT_Cand_5698,5.993,0.018,High-Confidence (Std <= 0.20)
WT_Cand_5699,6.729,0.059,High-Confidence (Std <= 0.20)
WT_Cand_5700,7.555,0.118,High-Confidence (Std <= 0.20)
WT_Cand_5701,6.821,0.531,Low-Confidence (Filtered Out)
WT_Cand_5702,6.6,0.312,Low-Confidence (Filtered Out)
WT_Cand_5703,6.917,0.094,High-Confidence (Std <= 0.20)
WT_Cand_5704,6.156,0.05,High-Confidence (Std <= 0.20)
WT_Cand_5705,6.455,0.05,High-Confidence (Std <= 0.20)
WT_Cand_5706,4.451,0.647,Low-Confidence (Filtered Out)
WT_Cand_5707,7.97,0.043,High-Confidence (Std <= 0.20)
WT_Cand_5708,7.194,0.273,Low-Confidence (Filtered Out)
WT_Cand_5709,5.961,0.261,Low-Confidence (Filtered Out)
WT_Cand_5710,9.034,0.109,High-Confidence (Std <= 0.20)
WT_Cand_5711,6.95,0.039,High-Confidence (Std <= 0.20)
WT_Cand_5712,5.658,0.208,Low-Confidence (Filtered Out)
WT_Cand_5713,7.835,0.501,Low-Confidence (Filtered Out)
WT_Cand_5714,7.308,0.033,High-Confidence (Std <= 0.20)
WT_Cand_5715,7.304,0.15,High-Confidence (Std <= 0.20)
WT_Cand_5716,6.36,0.25,Low-Confidence (Filtered Out)
WT_Cand_5717,7.368,0.477,Low-Confidence (Filtered Out)
WT_Cand_5718,6.549,0.012,High-Confidence (Std <= 0.20)
WT_Cand_5719,7.489,0.226,Low-Confidence (Filtered Out)
WT_Cand_5720,4.659,0.47,Low-Confidence (Filtered Out)
WT_Cand_5721,6.351,0.274,Low-Confidence (Filtered Out)
WT_Cand_5722,8.83,0.075,High-Confidence (Std <= 0.20)
WT_Cand_5723,5.968,0.156,High-Confidence (Std <= 0.20)
WT_Cand_5724,6.156,0.307,Low-Confidence (Filtered Out)
WT_Cand_5725,6.335,0.325,Low-Confidence (Filtered Out)
WT_Cand_5726,5.453,0.27,Low-Confidence (Filtered Out)
WT_Cand_5727,4.31,0.169,High-Confidence (Std <= 0.20)
WT_Cand_5728,6.585,0.129,High-Confidence (Std <= 0.20)
WT_Cand_5729,7.006,0.343,Low-Confidence (Filtered Out)
WT_Cand_5730,6.79,0.211,Low-Confidence (Filtered Out)
WT_Cand_5731,6.683,0.16,High-Confidence (Std <= 0.20)
WT_Cand_5732,6.899,0.068,High-Confidence (Std <= 0.20)
WT_Cand_5733,8.026,0.063,High-Confidence (Std <= 0.20)
WT_Cand_5734,6.631,0.133,High-Confidence (Std <= 0.20)
WT_Cand_5735,6.19,0.238,Low-Confidence (Filtered Out)
WT_Cand_5736,6.527,0.224,Low-Confidence (Filtered Out)
WT_Cand_5737,7.516,0.213,Low-Confidence (Filtered Out)
WT_Cand_5738,8.474,0.152,High-Confidence (Std <= 0.20)
WT_Cand_5739,6.128,0.319,Low-Confidence (Filtered Out)
WT_Cand_5740,6.964,0.37,Low-Confidence (Filtered Out)
WT_Cand_5741,7.239,0.043,High-Confidence (Std <= 0.20)
WT_Cand_5742,5.709,0.081,High-Confidence (Std <= 0.20)
WT_Cand_5743,6.873,0.636,Low-Confidence (Filtered Out)
WT_Cand_5744,5.164,0.125,High-Confidence (Std <= 0.20)
WT_Cand_5745,4.816,0.128,High-Confidence (Std <= 0.20)
WT_Cand_5746,7.272,0.062,High-Confidence (Std <= 0.20)
WT_Cand_5747,6.409,0.326,Low-Confidence (Filtered Out)
WT_Cand_5748,7.083,0.756,Low-Confidence (Filtered Out)
WT_Cand_5749,6.829,0.062,High-Confidence (Std <= 0.20)
WT_Cand_5750,5.727,0.342,Low-Confidence (Filtered Out)
WT_Cand_5751,6.798,0.053,High-Confidence (Std <= 0.20)
WT_Cand_5752,5.432,0.303,Low-Confidence (Filtered Out)
WT_Cand_5753,8.45,0.054,High-Confidence (Std <= 0.20)
WT_Cand_5754,5.291,0.01,High-Confidence (Std <= 0.20)
WT_Cand_5755,6.625,0.631,Low-Confidence (Filtered Out)
WT_Cand_5756,5.651,0.091,High-Confidence (Std <= 0.20)
WT_Cand_5757,7.506,0.026,High-Confidence (Std <= 0.20)
WT_Cand_5758,6.469,0.17,High-Confidence (Std <= 0.20)
WT_Cand_5759,6.254,0.241,Low-Confidence (Filtered Out)
WT_Cand_5760,7.831,0.354,Low-Confidence (Filtered Out)
WT_Cand_5761,6.884,0.119,High-Confidence (Std <= 0.20)
WT_Cand_5762,7.444,0.112,High-Confidence (Std <= 0.20)
WT_Cand_5763,5.721,0.093,High-Confidence (Std <= 0.20)
WT_Cand_5764,5.234,0.155,High-Confidence (Std <= 0.20)
WT_Cand_5765,6.973,0.263,Low-Confidence (Filtered Out)
WT_Cand_5766,6.483,0.194,High-Confidence (Std <= 0.20)
WT_Cand_5767,7.57,0.089,High-Confidence (Std <= 0.20)
WT_Cand_5768,6.758,0.148,High-Confidence (Std <= 0.20)
WT_Cand_5769,7.086,0.036,High-Confidence (Std <= 0.20)
WT_Cand_5770,4.983,0.122,High-Confidence (Std <= 0.20)
WT_Cand_5771,9.022,0.107,High-Confidence (Std <= 0.20)
WT_Cand_5772,6.661,0.356,Low-Confidence (Filtered Out)
WT_Cand_5773,7.652,0.17,High-Confidence (Std <= 0.20)
WT_Cand_5774,5.888,0.124,High-Confidence (Std <= 0.20)
WT_Cand_5775,7.204,0.14,High-Confidence (Std <= 0.20)
WT_Cand_5776,5.352,0.122,High-Confidence (Std <= 0.20)
WT_Cand_5777,7.37,0.046,High-Confidence (Std <= 0.20)
WT_Cand_5778,6.441,0.259,Low-Confidence (Filtered Out)
WT_Cand_5779,6.884,0.005,High-Confidence (Std <= 0.20)
WT_Cand_5780,7.653,0.091,High-Confidence (Std <= 0.20)
WT_Cand_5781,5.433,0.066,High-Confidence (Std <= 0.20)
WT_Cand_5782,6.063,0.093,High-Confidence (Std <= 0.20)
WT_Cand_5783,7.376,0.255,Low-Confidence (Filtered Out)
WT_Cand_5784,9.263,0.125,High-Confidence (Std <= 0.20)
WT_Cand_5785,6.691,0.142,High-Confidence (Std <= 0.20)
WT_Cand_5786,7.53,0.243,Low-Confidence (Filtered Out)
WT_Cand_5787,6.727,0.229,Low-Confidence (Filtered Out)
WT_Cand_5788,9.084,0.215,Low-Confidence (Filtered Out)
WT_Cand_5789,4.841,0.144,High-Confidence (Std <= 0.20)
WT_Cand_5790,6.959,0.339,Low-Confidence (Filtered Out)
WT_Cand_5791,4.981,0.064,High-Confidence (Std <= 0.20)
WT_Cand_5792,3.967,0.124,High-Confidence (Std <= 0.20)
WT_Cand_5793,7.192,0.095,High-Confidence (Std <= 0.20)
WT_Cand_5794,7.01,0.1,High-Confidence (Std <= 0.20)
WT_Cand_5795,6.522,0.055,High-Confidence (Std <= 0.20)
WT_Cand_5796,6.728,0.286,Low-Confidence (Filtered Out)
WT_Cand_5797,10.413,0.234,Low-Confidence (Filtered Out)
WT_Cand_5798,6.553,0.12,High-Confidence (Std <= 0.20)
WT_Cand_5799,7.437,0.204,Low-Confidence (Filtered Out)
WT_Cand_5800,6.103,0.3,Low-Confidence (Filtered Out)
WT_Cand_5801,7.19,0.461,Low-Confidence (Filtered Out)
WT_Cand_5802,6.576,0.032,High-Confidence (Std <= 0.20)
WT_Cand_5803,6.378,0.128,High-Confidence (Std <= 0.20)
WT_Cand_5804,8.942,0.37,Low-Confidence (Filtered Out)
WT_Cand_5805,8.204,0.662,Low-Confidence (Filtered Out)
WT_Cand_5806,7.007,0.189,High-Confidence (Std <= 0.20)
WT_Cand_5807,4.2,0.28,Low-Confidence (Filtered Out)
WT_Cand_5808,6.435,0.198,High-Confidence (Std <= 0.20)
WT_Cand_5809,9.958,0.116,High-Confidence (Std <= 0.20)
WT_Cand_5810,6.585,0.258,Low-Confidence (Filtered Out)
WT_Cand_5811,8.119,0.483,Low-Confidence (Filtered Out)
WT_Cand_5812,8.508,0.143,High-Confidence (Std <= 0.20)
WT_Cand_5813,7.102,0.136,High-Confidence (Std <= 0.20)
WT_Cand_5814,5.882,0.081,High-Confidence (Std <= 0.20)
WT_Cand_5815,4.049,0.088,High-Confidence (Std <= 0.20)
WT_Cand_5816,7.637,0.029,High-Confidence (Std <= 0.20)
WT_Cand_5817,5.913,0.033,High-Confidence (Std <= 0.20)
WT_Cand_5818,7.053,0.201,Low-Confidence (Filtered Out)
WT_Cand_5819,5.413,0.04,High-Confidence (Std <= 0.20)
WT_Cand_5820,6.545,0.154,High-Confidence (Std <= 0.20)
WT_Cand_5821,6.889,0.607,Low-Confidence (Filtered Out)
WT_Cand_5822,7.159,0.1,High-Confidence (Std <= 0.20)
WT_Cand_5823,5.568,0.034,High-Confidence (Std <= 0.20)
WT_Cand_5824,8.226,0.502,Low-Confidence (Filtered Out)
WT_Cand_5825,6.164,0.053,High-Confidence (Std <= 0.20)
WT_Cand_5826,4.924,0.092,High-Confidence (Std <= 0.20)
WT_Cand_5827,6.725,0.323,Low-Confidence (Filtered Out)
WT_Cand_5828,6.89,0.044,High-Confidence (Std <= 0.20)
WT_Cand_5829,7.035,0.084,High-Confidence (Std <= 0.20)
WT_Cand_5830,8.416,0.041,High-Confidence (Std <= 0.20)
WT_Cand_5831,6.578,0.319,Low-Confidence (Filtered Out)
WT_Cand_5832,6.712,0.039,High-Confidence (Std <= 0.20)
WT_Cand_5833,5.581,0.224,Low-Confidence (Filtered Out)
WT_Cand_5834,7.794,0.13,High-Confidence (Std <= 0.20)
WT_Cand_5835,7.062,0.079,High-Confidence (Std <= 0.20)
WT_Cand_5836,6.367,0.127,High-Confidence (Std <= 0.20)
WT_Cand_5837,4.66,0.093,High-Confidence (Std <= 0.20)
WT_Cand_5838,8.511,0.063,High-Confidence (Std <= 0.20)
WT_Cand_5839,5.438,0.013,High-Confidence (Std <= 0.20)
WT_Cand_5840,6.17,0.043,High-Confidence (Std <= 0.20)
WT_Cand_5841,7.262,0.169,High-Confidence (Std <= 0.20)
WT_Cand_5842,5.474,0.106,High-Confidence (Std <= 0.20)
WT_Cand_5843,5.132,0.22,Low-Confidence (Filtered Out)
WT_Cand_5844,4.407,0.153,High-Confidence (Std <= 0.20)
WT_Cand_5845,7.679,0.201,Low-Confidence (Filtered Out)
WT_Cand_5846,6.223,0.035,High-Confidence (Std <= 0.20)
WT_Cand_5847,10.216,0.14,High-Confidence (Std <= 0.20)
WT_Cand_5848,5.706,0.02,High-Confidence (Std <= 0.20)
WT_Cand_5849,5.79,0.308,Low-Confidence (Filtered Out)
WT_Cand_5850,6.2,0.263,Low-Confidence (Filtered Out)
WT_Cand_5851,7.13,0.112,High-Confidence (Std <= 0.20)
WT_Cand_5852,6.309,0.255,Low-Confidence (Filtered Out)
WT_Cand_5853,7.554,0.047,High-Confidence (Std <= 0.20)
WT_Cand_5854,5.725,0.073,High-Confidence (Std <= 0.20)
WT_Cand_5855,5.261,0.301,Low-Confidence (Filtered Out)
WT_Cand_5856,4.782,0.0,High-Confidence (Std <= 0.20)
WT_Cand_5857,4.293,0.116,High-Confidence (Std <= 0.20)
WT_Cand_5858,6.254,0.188,High-Confidence (Std <= 0.20)
WT_Cand_5859,6.504,0.087,High-Confidence (Std <= 0.20)
WT_Cand_5860,6.124,0.369,Low-Confidence (Filtered Out)
WT_Cand_5861,8.28,0.452,Low-Confidence (Filtered Out)
WT_Cand_5862,8.262,0.2,High-Confidence (Std <= 0.20)
WT_Cand_5863,6.465,0.036,High-Confidence (Std <= 0.20)
WT_Cand_5864,4.787,0.259,Low-Confidence (Filtered Out)
WT_Cand_5865,6.198,0.585,Low-Confidence (Filtered Out)
WT_Cand_5866,6.16,0.147,High-Confidence (Std <= 0.20)
WT_Cand_5867,6.094,0.121,High-Confidence (Std <= 0.20)
WT_Cand_5868,6.048,0.051,High-Confidence (Std <= 0.20)
WT_Cand_5869,6.099,0.18,High-Confidence (Std <= 0.20)
WT_Cand_5870,6.405,0.125,High-Confidence (Std <= 0.20)
WT_Cand_5871,6.119,0.004,High-Confidence (Std <= 0.20)
WT_Cand_5872,7.09,0.246,Low-Confidence (Filtered Out)
WT_Cand_5873,7.264,0.03,High-Confidence (Std <= 0.20)
WT_Cand_5874,5.803,0.662,Low-Confidence (Filtered Out)
WT_Cand_5875,8.312,0.156,High-Confidence (Std <= 0.20)
WT_Cand_5876,5.723,0.112,High-Confidence (Std <= 0.20)
WT_Cand_5877,4.99,0.149,High-Confidence (Std <= 0.20)
WT_Cand_5878,7.288,0.141,High-Confidence (Std <= 0.20)
WT_Cand_5879,5.91,0.093,High-Confidence (Std <= 0.20)
WT_Cand_5880,7.219,0.017,High-Confidence (Std <= 0.20)
WT_Cand_5881,4.086,0.376,Low-Confidence (Filtered Out)
WT_Cand_5882,8.451,0.147,High-Confidence (Std <= 0.20)
WT_Cand_5883,7.623,0.322,Low-Confidence (Filtered Out)
WT_Cand_5884,5.124,0.021,High-Confidence (Std <= 0.20)
WT_Cand_5885,5.149,0.06,High-Confidence (Std <= 0.20)
WT_Cand_5886,8.773,0.086,High-Confidence (Std <= 0.20)
WT_Cand_5887,6.002,0.037,High-Confidence (Std <= 0.20)
WT_Cand_5888,5.891,0.246,Low-Confidence (Filtered Out)
WT_Cand_5889,4.244,0.108,High-Confidence (Std <= 0.20)
WT_Cand_5890,6.447,0.176,High-Confidence (Std <= 0.20)
WT_Cand_5891,6.588,0.072,High-Confidence (Std <= 0.20)
WT_Cand_5892,7.673,0.333,Low-Confidence (Filtered Out)
WT_Cand_5893,5.241,0.27,Low-Confidence (Filtered Out)
WT_Cand_5894,5.102,0.239,Low-Confidence (Filtered Out)
WT_Cand_5895,7.369,0.155,High-Confidence (Std <= 0.20)
WT_Cand_5896,8.008,0.376,Low-Confidence (Filtered Out)
WT_Cand_5897,5.043,0.273,Low-Confidence (Filtered Out)
WT_Cand_5898,8.094,0.129,High-Confidence (Std <= 0.20)
WT_Cand_5899,6.893,0.079,High-Confidence (Std <= 0.20)
WT_Cand_5900,8.106,0.107,High-Confidence (Std <= 0.20)
WT_Cand_5901,6.769,0.208,Low-Confidence (Filtered Out)
WT_Cand_5902,3.949,0.021,High-Confidence (Std <= 0.20)
WT_Cand_5903,6.675,0.057,High-Confidence (Std <= 0.20)
WT_Cand_5904,8.069,0.371,Low-Confidence (Filtered Out)
WT_Cand_5905,5.822,0.308,Low-Confidence (Filtered Out)
WT_Cand_5906,6.404,0.108,High-Confidence (Std <= 0.20)
WT_Cand_5907,6.647,0.261,Low-Confidence (Filtered Out)
WT_Cand_5908,3.516,0.149,High-Confidence (Std <= 0.20)
WT_Cand_5909,8.772,0.313,Low-Confidence (Filtered Out)
WT_Cand_5910,5.813,0.076,High-Confidence (Std <= 0.20)
WT_Cand_5911,7.432,0.064,High-Confidence (Std <= 0.20)
WT_Cand_5912,6.75,0.124,High-Confidence (Std <= 0.20)
WT_Cand_5913,8.296,0.142,High-Confidence (Std <= 0.20)
WT_Cand_5914,7.317,0.064,High-Confidence (Std <= 0.20)
WT_Cand_5915,6.58,0.412,Low-Confidence (Filtered Out)
WT_Cand_5916,5.822,0.098,High-Confidence (Std <= 0.20)
WT_Cand_5917,7.768,0.014,High-Confidence (Std <= 0.20)
WT_Cand_5918,4.696,0.156,High-Confidence (Std <= 0.20)
WT_Cand_5919,7.593,0.115,High-Confidence (Std <= 0.20)
WT_Cand_5920,5.586,0.285,Low-Confidence (Filtered Out)
WT_Cand_5921,8.29,0.077,High-Confidence (Std <= 0.20)
WT_Cand_5922,7.035,0.248,Low-Confidence (Filtered Out)
WT_Cand_5923,7.591,0.177,High-Confidence (Std <= 0.20)
WT_Cand_5924,6.944,0.328,Low-Confidence (Filtered Out)
WT_Cand_5925,4.835,0.154,High-Confidence (Std <= 0.20)
WT_Cand_5926,5.86,0.06,High-Confidence (Std <= 0.20)
WT_Cand_5927,7.623,0.185,High-Confidence (Std <= 0.20)
WT_Cand_5928,7.042,0.043,High-Confidence (Std <= 0.20)
WT_Cand_5929,8.208,0.007,High-Confidence (Std <= 0.20)
WT_Cand_5930,7.314,0.066,High-Confidence (Std <= 0.20)
WT_Cand_5931,5.738,0.345,Low-Confidence (Filtered Out)
WT_Cand_5932,5.935,0.544,Low-Confidence (Filtered Out)
WT_Cand_5933,6.968,0.02,High-Confidence (Std <= 0.20)
WT_Cand_5934,4.189,0.299,Low-Confidence (Filtered Out)
WT_Cand_5935,8.774,0.478,Low-Confidence (Filtered Out)
WT_Cand_5936,7.358,0.041,High-Confidence (Std <= 0.20)
WT_Cand_5937,8.261,0.415,Low-Confidence (Filtered Out)
WT_Cand_5938,5.032,0.031,High-Confidence (Std <= 0.20)
WT_Cand_5939,8.281,0.125,High-Confidence (Std <= 0.20)
WT_Cand_5940,9.416,0.196,High-Confidence (Std <= 0.20)
WT_Cand_5941,5.331,0.046,High-Confidence (Std <= 0.20)
WT_Cand_5942,7.737,0.396,Low-Confidence (Filtered Out)
WT_Cand_5943,6.851,0.137,High-Confidence (Std <= 0.20)
WT_Cand_5944,5.074,0.278,Low-Confidence (Filtered Out)
WT_Cand_5945,7.417,0.049,High-Confidence (Std <= 0.20)
WT_Cand_5946,7.809,0.568,Low-Confidence (Filtered Out)
WT_Cand_5947,6.159,0.217,Low-Confidence (Filtered Out)
WT_Cand_5948,8.191,0.209,Low-Confidence (Filtered Out)
WT_Cand_5949,4.933,0.193,High-Confidence (Std <= 0.20)
WT_Cand_5950,5.131,0.212,Low-Confidence (Filtered Out)
WT_Cand_5951,7.007,0.256,Low-Confidence (Filtered Out)
WT_Cand_5952,6.879,0.099,High-Confidence (Std <= 0.20)
WT_Cand_5953,6.026,0.029,High-Confidence (Std <= 0.20)
WT_Cand_5954,7.781,0.031,High-Confidence (Std <= 0.20)
WT_Cand_5955,7.461,0.148,High-Confidence (Std <= 0.20)
WT_Cand_5956,7.837,0.489,Low-Confidence (Filtered Out)
WT_Cand_5957,6.708,0.124,High-Confidence (Std <= 0.20)
